Type,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Qty sold
menuItem,DINNER,Botonas,,Fresh Tortilla Chips,,,Food,364
menuItem,DINNER,Botonas,,Chips w/ Guacamole,,,Food,2112
menuItem,DINNER,Botonas,,Pico De Gallo,,,Food,15
menuItem,DINNER,Botonas,,Jicama & Cucumber,,,Food,288
menuItem,DINNER,Botonas,,Escabeche De Verduras,,,Food,99
menuItem,DINNER,Botonas,,Side Guac,,,Food,153
menuItem,DINNER,Botonas,,Papas Fritas,,,Food,239
menuItem,DINNER,Botonas,,Side of Tortillas,,,Food,98
menuItem,DINNER,Botonas,,Salsa Verde Refill,,,Food,23
menuItem,DINNER,Botonas,,Chipotle Refill,,,Food,40
menuItem,DINNER,Botonas,,Arbol Refill,,,Food,7
menuItem,DINNER,Botonas,,Cascabel Refill,,,Food,5
menuItem,DINNER,Botonas,,Puja Refill,,,Food,7
menuItem,DINNER,Botonas,,3 Salsa Refill,,,Food,120
menuItem,DINNER,Botonas,,CHIP REFILL,,,Food,920
menuItem,DINNER,Botonas,,Side Limes,,,Food,40
menuItem,DINNER,Botonas,,Side of Crema,,,Food,20
,DINNER,Antojitos,,,,,,2811
menuItem,DINNER,Antojitos,,White Shrimp Ceviche,,,Food,546
menuItem,DINNER,Antojitos,,Ensalada Picada,,,Food,512
menuItem,DINNER,Antojitos,,Bitter Greens Escarole,,,Food,357
menuItem,DINNER,Antojitos,,Early girl tomatoes,,,Food,152
menuItem,DINNER,Antojitos,,Wood Grilled Chicken Livers,,,Food,219
menuItem,DINNER,Antojitos,,Hamachi Crudo,,,Food,234
menuItem,DINNER,Antojitos,,Soup,,,Food,178
menuItem,DINNER,Antojitos,,Chile Relleno,,,Food,446
menuItem,DINNER,Antojitos,,Beef & Pork Albóndigas En Adobo,,,Food,165
menuItem,DINNER,Antojitos,,Extra Meatball,,,Food,2
,DINNER,Masa,,,,,,6328
menuItem,DINNER,Masa,,Beef Barbacoa Quesadilla,,,Food,95
menuItem,DINNER,Masa,,Broccoli Rabe Quesadilla,,,Food,31
menuItem,DINNER,Masa,,Squash Blossoms Quesadilla,,,Food,2
menuItem,DINNER,Masa,,Mushroom Quesadilla,,,Food,314
menuItem,DINNER,Masa,,Red Squash Quesadilla,,,Food,87
menuItem,DINNER,Masa,,Rabbit Tinga Quesadilla,,,Food,71
menuItem,DINNER,Masa,,Chicken Quesadilla,,,Food,188
menuItem,DINNER,Masa,,Cheese Quesadilla,,,Food,42
menuItem,DINNER,Masa,,Shrimp Quesadilla,,,Food,114
menuItem,DINNER,Masa,,Lamb Quesadilla,,,Food,47
menuItem,DINNER,Masa,,Cauliflower Quesadilla,,,Food,29
menuItem,DINNER,Masa,,Chile Quesadilla,,,Food,49
menuItem,DINNER,Masa,,Chicken Enchilada,,,Food,39
menuItem,DINNER,Masa,,Turkey Enchilada,,,Food,85
menuItem,DINNER,Masa,,Corn Enchilada,,,Food,17
menuItem,DINNER,Masa,,Duck Enchiladas,,,Food,261
menuItem,DINNER,Masa,,Butternut Squash Enchilada,,,Food,128
menuItem,DINNER,Masa,,Pork Enchilada,,,Food,549
menuItem,DINNER,Masa,,Cheese Enchilada,,,Food,4
menuItem,DINNER,Masa,,Chicken Tamal,,,Food,624
menuItem,DINNER,Masa,,Beef Tamal,,,Food,36
menuItem,DINNER,Masa,,Veggie Tamal,,,Food,155
menuItem,DINNER,Masa,,Pork Tamal,,,Food,70
menuItem,DINNER,Masa,,Wild Mushroom Tamal,,,Food,31
menuItem,DINNER,Masa,,Fish Tacos,,,Food,1111
menuItem,DINNER,Masa,,Tinga Tacos,,,Food,89
menuItem,DINNER,Masa,,Carne Asada Tacos,,,Food,90
menuItem,DINNER,Masa,,Al Pastor Tacos,,,Food,29
menuItem,DINNER,Masa,,Barbacoa Tacos,,,Food,106
menuItem,DINNER,Masa,,Pibil Tacos,,,Food,72
menuItem,DINNER,Masa,,Beef Cheek Tacos,,,Food,54
menuItem,DINNER,Masa,,Carnitas Tacos,,,Food,173
menuItem,DINNER,Masa,,Sweet Potato Tacos,,,Food,253
menuItem,DINNER,Masa,,Lengua Tacos,,,Food,2
menuItem,DINNER,Masa,,Tlayuda,,,Food,352
menuItem,DINNER,Masa,,Empanadas Potato Pea,,,Food,35
menuItem,DINNER,Masa,,Shrimp Empanadas,,,Food,21
menuItem,DINNER,Masa,,Empanadas Chorizo Potato,,,Food,33.5
menuItem,DINNER,Masa,,Flautas,,,Food,190
menuItem,DINNER,Masa,,Empanadas,,,Food,117.5
menuItem,DINNER,Masa,,Gorditas,,,Food,11
menuItem,DINNER,Masa,,Banh Mi Tacos,,,Food,25
,DINNER,Masa,Combination Tacos,,,,,496
menuItem,DINNER,Masa,Combination Tacos,Single Taco,,,Food,82
menuItem,DINNER,Masa,Combination Tacos,Combo Tacos,,,Food,256
menuItem,DINNER,Masa,Combination Tacos,Triple Tacos,,,Food,158
,DINNER,Plato Fuerte,,,,,,1006
menuItem,DINNER,Plato Fuerte,,Mixiote de Pollo,,,Food,178
menuItem,DINNER,Plato Fuerte,,Pozole rojo,,,Food,14
menuItem,DINNER,Plato Fuerte,,Tetelas,,,Food,37
menuItem,DINNER,Plato Fuerte,,Recado Spareribs,,,Food,32
menuItem,DINNER,Plato Fuerte,,Pork Chop,,,Food,42
menuItem,DINNER,Plato Fuerte,,Grilled Gulf Shrimp,,,Food,19
menuItem,DINNER,Plato Fuerte,,Lamb Chop,,,Food,48
menuItem,DINNER,Plato Fuerte,,Spit-Roasted Whole Chicken,,,Food,245
menuItem,DINNER,Plato Fuerte,,Pork Shoulder,,,Food,53
menuItem,DINNER,Plato Fuerte,,Pork Spareribs,,,Food,94
menuItem,DINNER,Plato Fuerte,,Pork Loin,,,Food,21
menuItem,DINNER,Plato Fuerte,,Pork Chile Verde,,,Food,12
menuItem,DINNER,Plato Fuerte,,Roasted Turkey w/ Mole,,,Food,4
menuItem,DINNER,Plato Fuerte,,Beef Brisket,,,Food,9
menuItem,DINNER,Plato Fuerte,,Wagyu Flat Iron Steak,,,Food,193
menuItem,DINNER,Plato Fuerte,,Zarandeado,,,Food,5
,DINNER,Sides,,,,,,1132
menuItem,DINNER,Sides,,Mixed Baby Lettuces,,,Food,141
menuItem,DINNER,Sides,,Green Beans,,,Food,26
menuItem,DINNER,Sides,,Grilled Corn On The Cob,,,Food,127
menuItem,DINNER,Sides,,Brussels sprouts & autumn squash,,,Food,221
menuItem,DINNER,Sides,,Braised Collard Greens,,,Food,69
menuItem,DINNER,Sides,,Rice,,,Food,218
menuItem,DINNER,Sides,,Midnight Black Beans De Olla,,,Food,163
