Menu,Menu group,Item,Sales Category,Qty sold,Daily Avg Qty Sold
DINNER,Botonas,Chips w/ Guacamole,Food,2112.0,35.2
DINNER,Masa,Fish Tacos,Food,1111.0,18.516666666666666
DINNER,Botonas,CHIP REFILL,Food,920.0,15.333333333333334
DINNER,Masa,Chicken Tamal,Food,624.0,10.4
DINNER,Masa,Pork Enchilada,Food,549.0,9.15
DINNER,Antojitos,White Shrimp Ceviche,Food,546.0,9.1
DINNER,Antojitos,Ensalada Picada,Food,512.0,8.533333333333333
DINNER,Antojitos,Chile Relleno,Food,446.0,7.433333333333334
DINNER,Botonas,Fresh Tortilla Chips,Food,364.0,6.066666666666666
DINNER,Antojitos,Bitter Greens Escarole,Food,357.0,5.95
DINNER,Masa,Tlayuda,Food,352.0,5.866666666666666
DINNER,Dessert,Oaxacan Chocolate Budin,Food,338.0,5.633333333333334
DINNER,Masa,Mushroom Quesadilla,Food,314.0,5.233333333333333
DINNER,Dessert,Flan,Food,304.0,5.066666666666666
DINNER,Botonas,Jicama & Cucumber,Food,288.0,4.8
DINNER,Masa,Duck Enchiladas,Food,261.0,4.35
DINNER,Masa,Combo Tacos,Food,256.0,4.266666666666667
DINNER,Masa,Sweet Potato Tacos,Food,253.0,4.216666666666667
DINNER,Plato Fuerte,Spit-Roasted Whole Chicken,Food,245.0,4.083333333333333
DINNER,Botonas,Papas Fritas,Food,239.0,3.9833333333333334
DINNER,Antojitos,Hamachi Crudo,Food,234.0,3.9
DINNER,Sides,Brussels sprouts & autumn squash,Food,221.0,3.683333333333333
DINNER,Antojitos,Wood Grilled Chicken Livers,Food,219.0,3.65
DINNER,Sides,Rice,Food,218.0,3.6333333333333333
DINNER,Plato Fuerte,Wagyu Flat Iron Steak,Food,193.0,3.216666666666667
DINNER,Masa,Flautas,Food,190.0,3.1666666666666665
DINNER,Masa,Chicken Quesadilla,Food,188.0,3.1333333333333333
DINNER,Plato Fuerte,Mixiote de Pollo,Food,178.0,2.966666666666667
DINNER,Antojitos,Soup,Food,178.0,2.966666666666667
DINNER,Masa,Carnitas Tacos,Food,173.0,2.8833333333333333
DINNER,Antojitos,Beef & Pork Albóndigas En Adobo,Food,165.0,2.75
DINNER,Sides,Midnight Black Beans De Olla,Food,163.0,2.716666666666667
